,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,date
2380,24497265,Brand New Executive Studio,61391963,Corporate Housing,Manhattan,Murray Hill,40.74651,-73.97868000000001,Entire home/apt,125,30,3,2019-05-31,0.36,93,328,2019-01-10
2381,24509757,Wonderful 3 bed 1.5 baths 20 Mins to Times Square!,1273890,Sergio,Manhattan,Washington Heights,40.850809999999996,-73.9368,Entire home/apt,150,30,1,2019-09-03,1.0,2,335,2019-09-03
2382,24520558,Sonder | Hanover Square | Cozy 1BR + Rooftop,12243051,Sonder,Manhattan,Financial District,40.70533,-74.00923,Entire home/apt,142,29,1,2018-08-15,0.08,96,302,2018-08-15
2383,24521630,THE PONDEROSA PALACE,83921231,B,Manhattan,Hell's Kitchen,40.761520000000004,-73.98758000000001,Entire home/apt,235,2,57,2019-09-03,3.69,1,319,2018-06-07
2384,24525290,Paradise in New York City,185265758,Shama,Manhattan,Harlem,40.82156,-73.94966,Entire home/apt,247,2,95,2019-08-31,5.7,2,296,2018-05-02
2385,24537187,Sonder | Hanover Square | Quaint Studio + Rooftop,12243051,Sonder,Manhattan,Financial District,40.70561,-74.0086,Entire home/apt,145,29,4,2019-05-23,0.34,96,287,2018-09-26
2386,24537860,Sonder | Hanover Square | Modern 1BR + Rooftop,12243051,Sonder,Manhattan,Financial District,40.70563,-74.0078,Entire home/apt,167,29,3,2019-04-30,0.22,96,290,2018-07-29
2387,24538208,Comfortable Studio Apt in Heart of East Village,20584520,Ben,Manhattan,East Village,40.72926,-73.98456,Entire home/apt,101,1,25,2019-05-22,1.51,1,353,2018-05-05
2388,24541992,Sonder | 95 Wall | Quaint Studio + Gym,12243051,Sonder,Manhattan,Financial District,40.70558,-74.00845,Entire home/apt,145,29,1,2019-05-05,0.23,96,300,2019-05-05
2389,24576954,Time Square / HK Apartment,5894571,Dustin,Manhattan,Hell's Kitchen,40.76079,-73.98751999999999,Entire home/apt,99,5,4,2019-01-02,0.25,1,231,2018-05-17
2390,24583029,"Cosy,Elegant 1 Bedroom Apartment in heart of UES!",75302217,C-Van,Manhattan,Upper East Side,40.77883,-73.95528,Entire home/apt,189,3,11,2019-06-29,0.66,2,335,2018-05-05
2391,24596989,WALL STREET AMAZING APARTMENT,12292581,Andrew,Manhattan,Financial District,40.70617,-74.0112,Entire home/apt,230,7,4,2018-12-30,0.26,1,280,2018-06-07
2392,24606241,Sunny & Beautiful 1br apt in heart of Lower East.,165725362,Janey,Manhattan,Lower East Side,40.71432,-73.9887,Entire home/apt,150,4,37,2019-08-26,2.34,1,221,2018-05-28
2393,24609530,Modern and spacious 2 bedroom in Manhattan,185981519,Erika,Manhattan,East Village,40.72189,-73.98219,Entire home/apt,260,1,51,2019-08-18,3.02,1,318,2018-04-25
2394,24622772,East Side Apartment with Terrace+-,1303459,Steve,Manhattan,Upper East Side,40.76852,-73.95588000000001,Entire home/apt,123,30,3,2019-03-16,0.38,3,183,2019-01-17
2395,24633966,Bowery modern loft,161268152,Maytal And Ken,Manhattan,Lower East Side,40.72221,-73.99181,Entire home/apt,700,2,3,2019-09-01,2.2,2,247,2019-08-04
2396,24657328,Heart of the City,173373234,Alexander M,Manhattan,Midtown,40.75864,-73.97035,Entire home/apt,200,30,7,2018-08-30,0.44,2,255,2018-05-20
2397,24676594,Duplex STUDIO With Sunset View,186501476,Alessandra,Manhattan,Greenwich Village,40.72911,-74.00001,Entire home/apt,250,4,6,2018-10-09,0.38,1,313,2018-05-27
2398,24677926,Stylish & Tranquil East Village Three Bedroom,11305249,Eric,Manhattan,East Village,40.724990000000005,-73.98867,Entire home/apt,650,2,50,2019-09-02,2.99,1,122,2018-04-30
2399,24717470,Amazing Studio at the Time Square,48146336,Irina,Manhattan,Hell's Kitchen,40.76291,-73.99327,Entire home/apt,130,30,4,2019-07-31,0.29,23,348,2018-07-31
2400,24732229,"HUGE 1,000 Sq Foot Apt in MANHATTAN by 1 train!!",18418581,Pooja,Manhattan,Washington Heights,40.85522,-73.93271,Entire home/apt,235,1,28,2019-09-02,1.69,3,342,2018-05-06
2401,24752094,My favorite apartment ever!,187133159,Ken,Manhattan,East Village,40.72404,-73.99208,Entire home/apt,1100,2,16,2018-09-30,1.0,1,178,2018-05-23
2402,24752128,Cozy two bedroom apartment in the Upper East Side,5383703,Alexandra,Manhattan,Upper East Side,40.7648,-73.95862,Entire home/apt,170,7,35,2019-08-16,2.14,1,213,2018-05-12
2403,24752747,Sonder | Hanover Square | Simple 1BR + Rooftop,12243051,Sonder,Manhattan,Financial District,40.70518,-74.00994,Entire home/apt,147,29,2,2019-04-01,0.19,96,346,2018-10-31
2404,24757612,Full apartment in Harlem,110062861,Anwar,Manhattan,Harlem,40.814479999999996,-73.94547,Entire home/apt,122,4,22,2019-08-26,1.55,2,255,2018-07-15
2405,24795553,Posh Alcove Studio: Everything You Need For NYC!,28159250,Isabel,Manhattan,Kips Bay,40.7385,-73.97945,Entire home/apt,200,2,54,2019-09-09,3.35,1,321,2018-05-19
2406,24799807,Furnished Midtown One Bedroom Beauty,120762452,Stanley,Manhattan,Murray Hill,40.75028,-73.97702,Entire home/apt,210,30,1,2018-07-14,0.07,50,365,2018-07-14
2407,24801968,Sunny place,39774366,Maksim,Manhattan,Upper East Side,40.77882,-73.95054,Entire home/apt,86,27,2,2018-12-23,0.16,1,183,2018-08-27
2408,24806141,Sweet Home at Washington Heights,186679495,Maritza,Manhattan,Washington Heights,40.84698,-73.93629,Entire home/apt,75,1,88,2019-09-04,5.38,1,146,2018-05-11
2409,24816926,Lovely One Bedroom Apartment in the East Village!!,70043681,Helene,Manhattan,East Village,40.727340000000005,-73.97528,Entire home/apt,142,2,59,2019-09-08,3.73,1,199,2018-05-28
2410,24831549,Sonder | 95 Wall | Sun-Filled Studio + Gym,12243051,Sonder,Manhattan,Financial District,40.705709999999996,-74.00833,Entire home/apt,159,29,1,2019-05-18,0.25,96,225,2019-05-18
2411,24849342,Large Greenwich Village 2 Bedroom!,120006972,Connor,Manhattan,Greenwich Village,40.72923,-74.00176,Entire home/apt,250,3,25,2019-09-01,1.58,1,292,2018-05-27
2412,24853574,The Amazing Stay,187872824,Erik,Manhattan,Upper West Side,40.800129999999996,-73.95907,Entire home/apt,150,1,6,2018-06-19,0.37,2,179,2018-05-12
2413,24941609,NY’s Highest End Celebrity Building + Balconies!,65562107,Gina,Manhattan,Tribeca,40.71868,-74.00765,Entire home/apt,1200,5,14,2019-08-01,0.91,1,318,2018-06-08
2414,24943768,Luxurious Suite Grand Central,168465501,Ian,Manhattan,Murray Hill,40.74929,-73.97827,Entire home/apt,150,30,3,2018-11-23,0.23,4,133,2018-08-15
2415,24945511,Elegance on West Side,48889862,Miki,Manhattan,Harlem,40.79891,-73.9528,Entire home/apt,105,2,49,2019-09-08,3.06,1,124,2018-05-21
2416,24948017,VERY BIG APARTMENT IN HARLEM/ENTIRE APARTMENT,185683441,Maxime C And Winie C,Manhattan,Harlem,40.816340000000004,-73.94344,Entire home/apt,400,2,3,2018-10-26,0.2,3,158,2018-06-26
2417,24966304,Oct Discount! Private Flat (with Patio!) in NYC,188741104,Susan,Manhattan,Harlem,40.80875,-73.94238,Entire home/apt,160,2,53,2019-08-24,3.28,3,142,2018-05-17
2418,24967765,Modern 2 bedroom Upper East Side apartment.,103152379,Kate,Manhattan,Upper East Side,40.76195,-73.96056,Entire home/apt,199,3,28,2019-08-26,1.73,1,313,2018-05-16
2419,24969653,"Cozy, Clean Private Mini Studio in New York City",188741104,Susan,Manhattan,Harlem,40.809540000000005,-73.94256999999999,Entire home/apt,85,3,51,2019-07-21,3.15,3,135,2018-05-16
2420,24992835,"**FULL FLOOR - 3 BEDRMS, Times Sq/Restaurant Row**",157402346,Victor,Manhattan,Hell's Kitchen,40.76201,-73.99099,Entire home/apt,350,2,69,2019-08-27,4.24,1,233,2018-05-14
2421,25033384,Cozy and renovated one bedroom apartment,99556266,Mariano,Manhattan,East Harlem,40.79725,-73.93311,Entire home/apt,150,2,40,2019-08-29,2.7,2,313,2018-06-27
