,id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,date,year,x,y
1947,3531190,"Cozy/Hip LES 2 bedroom, sleeps 2-4",1457351,Michael,Manhattan,Lower East Side,Entire home/apt,273,4,93,2019-08-31,1.48,1,62,2014-07-22,2014,-8236615.952997131,4971139.321911089
1948,3531345,Ensuite in Duplex Brownstone with Private Terrace!,12337318,Andrew,Manhattan,Harlem,Private room,70,2,28,2019-04-26,0.77,2,62,2016-09-19,2016,-8231527.53907297,4986467.749456879
1949,3531959,Charming Artists in the Heights,17781037,Gideon & Chantal,Manhattan,Harlem,Private room,95,1,2,2014-10-20,0.03,1,0,2014-10-14,2014,-8232160.946975584,4986485.40248414
1950,3533669,Charming West Village Apartment,6828085,Ricardo,Manhattan,West Village,Shared room,110,1,50,2019-09-03,0.83,1,346,2014-09-28,2014,-8237805.95835371,4973511.685028031
1951,3533777,Private Room In Clean Spacious Apt,17791467,Anthony,Manhattan,Harlem,Private room,69,2,254,2019-08-07,4.05,2,153,2014-07-22,2014,-8230717.133179995,4986170.594958708
1952,3534443,Lower East Side Studio- Great Location!,13337141,Aurea,Manhattan,Lower East Side,Entire home/apt,150,2,121,2019-02-03,1.94,1,0,2014-08-03,2014,-8236097.204170034,4970933.695256248
1953,3539618,Large modern studio in Gramercy,506909,Nevena,Manhattan,Kips Bay,Entire home/apt,170,1,9,2015-05-21,0.14,1,0,2014-08-07,2014,-8235469.36224196,4973755.564275469
1954,3539882,Renovated Studio - LES,16583238,Tommy,Manhattan,Lower East Side,Entire home/apt,125,5,12,2015-12-31,0.19,1,0,2014-07-22,2014,-8236260.8438214995,4971371.391473296
1955,3540370,Sunny room in East Village!,17820079,Kent,Manhattan,East Village,Private room,130,1,191,2019-05-27,3.06,1,0,2014-07-27,2014,-8235420.381666011,4972117.576511185
1956,3540722,Modern Bohemian Studio,17820464,Allison,Manhattan,East Village,Entire home/apt,145,1,358,2018-12-03,5.75,1,70,2014-08-02,2014,-8235233.364921477,4971795.887394575
1957,3543227,Private Suite 15min to Times Square,3912009,Brendan,Manhattan,Harlem,Private room,95,3,167,2019-09-01,2.79,2,12,2014-10-16,2014,-8231518.633513707,4986111.753557318
1958,3543298,Private Cozy Loft with City Terrace,17219027,Ann,Manhattan,Hell's Kitchen,Private room,2000,30,8,2015-02-09,0.13,1,50,2014-07-19,2014,-8236524.67101468,4977019.1366968
1959,3545066,Cozy Apartment in Chinatown/LES,7250241,Irene,Manhattan,Lower East Side,Private room,80,5,3,2015-08-29,0.05,1,0,2014-08-20,2014,-8236368.8237275705,4970109.763255882
1960,3548393,Charming West Village apartment,6212988,Kim,Manhattan,West Village,Private room,100,3,16,2016-03-22,0.26,1,0,2014-07-22,2014,-8238314.688426636,4973076.831107747
1961,3550298,"Bright, big, BEAUTIFUL room in renovated apt",16974369,Robert,Manhattan,Harlem,Private room,75,5,5,2018-06-30,0.1,1,0,2015-07-29,2015,-8230940.88535649,4985552.77794167
1962,3550879,Beautiful Harlem apt with views,17874864,Kayvon,Manhattan,Harlem,Shared room,200,1,31,2016-11-01,0.51,1,365,2014-09-02,2014,-8232827.750725435,4986033.789247069
1963,3553679,Room in Upper East Side,2879920,Alberto,Manhattan,Upper East Side,Private room,69,60,9,2016-04-04,0.16,2,2,2015-01-14,2015,-8233521.2711530775,4977283.679295568
1964,3553768,"Serene, minimalist studio W Village",17891677,Arianna,Manhattan,West Village,Entire home/apt,200,3,72,2019-09-09,1.18,1,321,2014-09-15,2014,-8237647.884676783,4973326.575926757
1965,3556577,Landmark Brownstone Sunny  3 Rooms,7245581,Michael,Manhattan,Washington Heights,Entire home/apt,70,180,8,2019-08-31,0.13,19,361,2014-08-26,2014,-8231028.827754215,4987835.9537703805
1966,3556615,TimeSq/Brdway/Midtown/A Cozy Petit Versaille/Quiet,17906693,Earle,Manhattan,Hell's Kitchen,Private room,200,2,65,2019-08-12,1.07,1,325,2014-09-12,2014,-8237119.117095516,4977818.66511055
1967,3559515,"Valentine’s Day! Spacious King Suite, 2 bath apt",17920050,Deidre,Manhattan,Midtown,Entire home/apt,308,2,9,2018-12-02,0.14,1,2,2014-07-24,2014,-8235435.9663947215,4977776.041540101
1968,3559695,Soho/Nolita Studio Loft with Beautiful Terrace,17920926,Gerald,Manhattan,Nolita,Entire home/apt,270,5,8,2018-08-24,0.2,1,0,2016-06-11,2016,-8237052.32540104,4971109.946409907
1969,3562245,"Quiet Sunny 1-Bedroom, Prime East Village Location",8924899,Theresa & James,Manhattan,East Village,Entire home/apt,365,2,70,2019-08-30,1.11,1,17,2014-07-18,2014,-8235994.790238504,4972351.13825621
1970,3565617,Modern sunny one bed apt,17953139,Oisin,Manhattan,Lower East Side,Entire home/apt,175,7,9,2018-12-07,0.25,1,299,2016-10-16,2016,-8235857.867264828,4971290.60713991
1971,3567258,Beautiful Loft in Union Square,298914,Fara,Manhattan,Gramercy,Entire home/apt,220,4,60,2019-06-24,0.97,1,54,2014-08-14,2014,-8236512.425870693,4973642.438807597
1972,3568596,Beautiful 1 BR in The Heights!,7499240,Candy,Manhattan,Washington Heights,Private room,80,1,3,2015-10-19,0.05,2,344,2014-08-11,2014,-8230999.88468661,4988211.140091156
1973,3574304,Semi-furnished room in a large 3 bedroom apt,7438973,Telora,Manhattan,Harlem,Private room,60,30,3,2019-09-08,0.23,1,145,2018-08-19,2018,-8232467.075575264,4985039.431176661
1974,3575859,GREENWICH VILLAGE ROOM WITH PR.BATH (DM 4 monthly),1239959,Naz,Manhattan,Greenwich Village,Private room,120,14,1,2016-09-23,0.03,1,0,2016-09-23,2016,-8237246.021315021,4972307.069575307
1975,3576160,One Bedroom in East Harlem,18008945,Francesco,Manhattan,East Harlem,Entire home/apt,100,4,53,2019-08-22,0.85,1,3,2014-08-05,2014,-8231556.482140576,4982599.564606946
1976,3581153,Modern 1BD Chelsea Apartment,18038832,Crystal & John,Manhattan,Chelsea,Entire home/apt,230,1,30,2019-07-07,0.49,1,10,2014-09-06,2014,-8236966.60939313,4975193.987972805
1977,3581652,Duplex in SoHa,18041691,Sebastien,Manhattan,Harlem,Entire home/apt,225,1,5,2016-07-29,0.09,1,0,2015-01-01,2015,-8232770.97778513,4983490.729068678
